model_a,model_b,criterion,n_basins,flip_rate
hbv[kge],transformer[mse],E5_lo,221,0.38461538461538464
hbv[kge],transformer[mse],delta_bar,221,0.2669683257918552
hbv[kge],transformer[nse],A_up,221,0.20361990950226244
hbv[kge],transformer[nse],A_lo,221,0.25339366515837103
hbv[kge],transformer[nse],E5_up,221,0.2171945701357466
hbv[kge],transformer[nse],E5_lo,221,0.3574660633484163
hbv[kge],transformer[nse],delta_bar,221,0.23529411764705882
hbv[lnnse],lstm[delta],A_up,221,0.19457013574660634
hbv[lnnse],lstm[delta],A_lo,221,0.26244343891402716
hbv[lnnse],lstm[delta],E5_up,221,0.2081447963800905
hbv[lnnse],lstm[delta],E5_lo,221,0.31221719457013575
hbv[lnnse],lstm[delta],delta_bar,221,0.23076923076923078
hbv[lnnse],lstm[logmse],A_up,221,0.497737556561086
hbv[lnnse],lstm[logmse],A_lo,221,0.669683257918552
hbv[lnnse],lstm[logmse],E5_up,221,0.3212669683257919
hbv[lnnse],lstm[logmse],E5_lo,221,0.5520361990950227
hbv[lnnse],lstm[logmse],delta_bar,221,0.6199095022624435
hbv[lnnse],lstm[mae],A_up,221,0.11764705882352941
hbv[lnnse],lstm[mae],A_lo,221,0.25339366515837103
hbv[lnnse],lstm[mae],E5_up,221,0.14479638009049775
hbv[lnnse],lstm[mae],E5_lo,221,0.2895927601809955
hbv[lnnse],lstm[mae],delta_bar,221,0.18099547511312217
hbv[lnnse],lstm[mse],A_up,221,0.2579185520361991
hbv[lnnse],lstm[mse],A_lo,221,0.5701357466063348
hbv[lnnse],lstm[mse],E5_up,221,0.17194570135746606
hbv[lnnse],lstm[mse],E5_lo,221,0.47058823529411764
hbv[lnnse],lstm[mse],delta_bar,221,0.45701357466063347
hbv[lnnse],lstm[nse],A_up,221,0.20361990950226244
hbv[lnnse],lstm[nse],A_lo,221,0.5746606334841629
hbv[lnnse],lstm[nse],E5_up,221,0.12669683257918551
hbv[lnnse],lstm[nse],E5_lo,221,0.45701357466063347
hbv[lnnse],lstm[nse],delta_bar,221,0.40271493212669685
hbv[lnnse],patchtst[nse],A_up,221,0.13122171945701358
hbv[lnnse],patchtst[nse],A_lo,221,0.22624434389140272
hbv[lnnse],patchtst[nse],E5_up,221,0.10407239819004525
hbv[lnnse],patchtst[nse],E5_lo,221,0.4660633484162896
hbv[lnnse],patchtst[nse],delta_bar,221,0.18552036199095023
hbv[lnnse],tcn[nse],A_up,221,0.334841628959276
hbv[lnnse],tcn[nse],A_lo,221,0.6606334841628959
hbv[lnnse],tcn[nse],E5_up,221,0.22171945701357465
hbv[lnnse],tcn[nse],E5_lo,221,0.4479638009049774
hbv[lnnse],tcn[nse],delta_bar,221,0.5610859728506787
hbv[lnnse],transformer[delta],A_up,221,0.3212669683257919
hbv[lnnse],transformer[delta],A_lo,221,0.3076923076923077
hbv[lnnse],transformer[delta],E5_up,221,0.26244343891402716
hbv[lnnse],transformer[delta],E5_lo,221,0.3393665158371041
hbv[lnnse],transformer[delta],delta_bar,221,0.3393665158371041
hbv[lnnse],transformer[logmse],A_up,221,0.08597285067873303
hbv[lnnse],transformer[logmse],A_lo,221,0.36199095022624433
hbv[lnnse],transformer[logmse],E5_up,221,0.049773755656108594
hbv[lnnse],transformer[logmse],E5_lo,221,0.5067873303167421
hbv[lnnse],transformer[logmse],delta_bar,221,0.21266968325791855
hbv[lnnse],transformer[mae],A_up,221,0.22171945701357465
hbv[lnnse],transformer[mae],A_lo,221,0.2986425339366516
hbv[lnnse],transformer[mae],E5_up,221,0.18552036199095023
hbv[lnnse],transformer[mae],E5_lo,221,0.31221719457013575
hbv[lnnse],transformer[mae],delta_bar,221,0.31221719457013575
hbv[lnnse],transformer[mse],A_up,221,0.25339366515837103
hbv[lnnse],transformer[mse],A_lo,221,0.5113122171945701
hbv[lnnse],transformer[mse],E5_up,221,0.20361990950226244
hbv[lnnse],transformer[mse],E5_lo,221,0.4117647058823529
hbv[lnnse],transformer[mse],delta_bar,221,0.416289592760181
hbv[lnnse],transformer[nse],A_up,221,0.24434389140271492
hbv[lnnse],transformer[nse],A_lo,221,0.4072398190045249
hbv[lnnse],transformer[nse],E5_up,221,0.18552036199095023
hbv[lnnse],transformer[nse],E5_lo,221,0.34841628959276016
hbv[lnnse],transformer[nse],delta_bar,221,0.38009049773755654
lstm[delta],lstm[logmse],A_up,221,0.167420814479638
lstm[delta],lstm[logmse],A_lo,221,0.16289592760180996
lstm[delta],lstm[logmse],E5_up,221,0.4253393665158371
lstm[delta],lstm[logmse],E5_lo,221,0.26244343891402716
lstm[delta],lstm[logmse],delta_bar,221,0.16289592760180996
lstm[delta],lstm[mae],A_up,221,0.3076923076923077
lstm[delta],lstm[mae],A_lo,221,0.497737556561086
