basin,run,branch,L,L_mode,alpha,pointwise_width,simultaneous_width,maxt_c
406224,aus_lstm_nse_s0,up,60,fixed,0.05,0.34896372428562056,0.5590885431053354,2.77800863948036
406224,aus_lstm_nse_s0,up,60,fixed,0.2,0.12691414157769243,0.17905422219350853,2.77800863948036
406224,aus_lstm_nse_s0,up,60,fixed,1.0,0.12179691084948963,0.1779420838860859,2.77800863948036
406224,aus_lstm_nse_s0,lo,60,fixed,0.01,0.32432432432432434,0.4354444330522018,2.568822471787331
406224,aus_lstm_nse_s0,lo,60,fixed,0.05,0.19672131147540983,0.2556446356103117,2.568822471787331
406224,aus_lstm_nse_s0,lo,60,fixed,0.2,0.15321477428180574,0.19770156029399044,2.568822471787331
406224,aus_lstm_nse_s0,lo,60,fixed,1.0,0.1217969108494894,0.16454290935853555,2.568822471787331
406224,aus_lstm_nse_s0,up,90,fixed,0.01,0.2918507983182969,0.39481413445929864,2.646070275779825
406224,aus_lstm_nse_s0,up,90,fixed,0.05,0.3760628025361548,0.5912938818145768,2.646070275779825
406224,aus_lstm_nse_s0,up,90,fixed,0.2,0.13341096182813483,0.17475001118323985,2.646070275779825
406224,aus_lstm_nse_s0,up,90,fixed,1.0,0.1158774190116596,0.15932283408487202,2.646070275779825
406224,aus_lstm_nse_s0,lo,90,fixed,0.01,0.32432432432432434,0.4296561870498727,2.568673563168008
406224,aus_lstm_nse_s0,lo,90,fixed,0.05,0.18579234972677594,0.24928102330153856,2.568673563168008
406224,aus_lstm_nse_s0,lo,90,fixed,0.2,0.14363885088919293,0.18810551343519855,2.568673563168008
406224,aus_lstm_nse_s0,lo,90,fixed,1.0,0.1158774190116596,0.15466269194313242,2.568673563168008
406224,aus_lstm_nse_s0,up,30,adaptive,0.01,0.22439804540976185,0.32581406082598297,2.713664549414366
406224,aus_lstm_nse_s0,up,30,adaptive,0.05,0.3013958945530698,0.45718186657880655,2.713664549414366
406224,aus_lstm_nse_s0,up,30,adaptive,0.2,0.110865959937272,0.15339164356610913,2.713664549414366
406224,aus_lstm_nse_s0,up,30,adaptive,1.0,0.11460346585173176,0.1580355943071008,2.713664549414366
406224,aus_lstm_nse_s0,lo,30,adaptive,0.01,0.32432432432432434,0.4297837837837799,2.603235997346497
406224,aus_lstm_nse_s0,lo,30,adaptive,0.05,0.18046448087431688,0.24517351699612422,2.603235997346497
406224,aus_lstm_nse_s0,lo,30,adaptive,0.2,0.13683310533515736,0.18107655625825392,2.603235997346497
406224,aus_lstm_nse_s0,lo,30,adaptive,1.0,0.11460346585173165,0.1516045703036797,2.603235997346497
616002,aus_lstm_nse_s0,up,15,fixed,0.01,0.25188566692547126,0.3865595897573033,2.8572680291740067
616002,aus_lstm_nse_s0,up,15,fixed,0.05,0.20642088786755888,0.29242421774708316,2.8572680291740067
616002,aus_lstm_nse_s0,up,15,fixed,0.2,0.30771009340585065,0.4691385460656605,2.8572680291740067
616002,aus_lstm_nse_s0,up,15,fixed,1.0,0.08626314861367756,0.12338138786255604,2.8572680291740067
616002,aus_lstm_nse_s0,lo,15,fixed,0.01,0.29729729729729726,0.43060831104297187,2.7427840582971026
616002,aus_lstm_nse_s0,lo,15,fixed,0.05,0.1639344262295082,0.23512483718123556,2.7427840582971026
616002,aus_lstm_nse_s0,lo,15,fixed,0.2,0.11080711354309164,0.15200472832389267,2.7427840582971026
616002,aus_lstm_nse_s0,lo,15,fixed,1.0,0.08626314861367845,0.11843778751754797,2.7427840582971026
616002,aus_lstm_nse_s0,up,30,fixed,0.01,0.25579000492243154,0.38802422733864383,2.7226789267123337
616002,aus_lstm_nse_s0,up,30,fixed,0.05,0.21804157427452342,0.3154518951725047,2.7226789267123337
616002,aus_lstm_nse_s0,up,30,fixed,0.2,0.36192890447132314,0.5606421502808525,2.7226789267123337
616002,aus_lstm_nse_s0,up,30,fixed,1.0,0.10572331309208333,0.1453969024094519,2.7226789267123337
616002,aus_lstm_nse_s0,lo,30,fixed,0.01,0.29797297297297287,0.43575963781517446,2.697202013524417
616002,aus_lstm_nse_s0,lo,30,fixed,0.05,0.1639344262295082,0.2275351241508805,2.697202013524417
616002,aus_lstm_nse_s0,lo,30,fixed,0.2,0.12452120383036935,0.16675698206306244,2.697202013524417
616002,aus_lstm_nse_s0,lo,30,fixed,1.0,0.10572331309208494,0.14403638052634238,2.697202013524417
616002,aus_lstm_nse_s0,up,60,fixed,0.01,0.28018909309823675,0.4538487524708976,2.9456104476350435
616002,aus_lstm_nse_s0,up,60,fixed,0.05,0.23686573118700088,0.37069800239640854,2.9456104476350435
616002,aus_lstm_nse_s0,up,60,fixed,0.2,0.39097462004534655,0.6699450805671231,2.9456104476350435
616002,aus_lstm_nse_s0,up,60,fixed,1.0,0.1141156122404029,0.1687862635839381,2.9456104476350435
616002,aus_lstm_nse_s0,lo,60,fixed,0.01,0.3243243243243243,0.46957044780359314,2.743327419401671
616002,aus_lstm_nse_s0,lo,60,fixed,0.05,0.16939890710382516,0.24574271844464757,2.743327419401671
616002,aus_lstm_nse_s0,lo,60,fixed,0.2,0.12452120383036935,0.17386507396041406,2.743327419401671
616002,aus_lstm_nse_s0,lo,60,fixed,1.0,0.11411561224040451,0.15719525481719387,2.743327419401671
616002,aus_lstm_nse_s0,up,90,fixed,0.01,0.28077328106254446,0.44911686511580834,2.899431138300252
616002,aus_lstm_nse_s0,up,90,fixed,0.05,0.24321499158261606,0.36780059212361244,2.899431138300252
616002,aus_lstm_nse_s0,up,90,fixed,0.2,0.39426201455718557,0.6773182027744675,2.899431138300252
616002,aus_lstm_nse_s0,up,90,fixed,1.0,0.10815412186474915,0.15871620604567727,2.899431138300252
616002,aus_lstm_nse_s0,lo,90,fixed,0.01,0.29729729729729726,0.46330200717296066,2.801415932872779
616002,aus_lstm_nse_s0,lo,90,fixed,0.05,0.16939890710382516,0.23720698418324648,2.801415932872779
616002,aus_lstm_nse_s0,lo,90,fixed,0.2,0.11768125854993156,0.16710769285803884,2.801415932872779
616002,aus_lstm_nse_s0,lo,90,fixed,1.0,0.10815412186475032,0.1533508082147934,2.801415932872779
